Subject,Condition,Time_point,Value
2,2,436,7.8973650932312
2,2,437,7.77445948123932
2,2,438,7.64883959293365
2,2,439,7.52587831020355
2,2,440,7.40993809700012
2,2,441,7.3041410446167
2,2,442,7.21026992797852
2,2,443,7.12882483005524
2,2,444,7.05919349193573
2,2,445,6.99991345405579
2,2,446,6.94899934530258
2,2,447,6.90423220396042
2,2,448,6.86345398426056
2,2,449,6.82480084896088
2,2,450,6.78682923316956
2,2,451,6.74862724542618
2,3,401,7.29669547080994
2,3,402,7.56390476226807
2,3,403,7.8106130361557
2,3,404,8.0254830121994
2,3,405,8.20044636726379
2,3,406,8.33126330375671
2,3,407,8.41766822338104
2,3,408,8.46313190460205
2,3,409,8.47426199913025
2,3,410,8.45993649959564
2,3,411,8.43025052547455
2,3,412,8.39542698860168
2,3,413,8.36477792263031
2,3,414,8.3458479642868
2,3,415,8.34385395050049
2,3,416,8.36138451099396
2,3,417,8.39846777915955
2,3,418,8.45287990570068
2,3,419,8.52071166038513
2,3,420,8.59705662727356
2,3,421,8.67673528194427
2,3,422,8.75494492053986
2,3,423,8.82781219482422
2,3,424,8.89272129535675
2,3,425,8.94841527938843
2,3,426,8.99487996101379
2,3,427,9.0330513715744
2,3,428,9.06441378593445
2,3,429,9.09048068523407
2,3,430,9.11238527297974
2,3,431,9.13051760196686
2,3,432,9.14427840709686
2,3,433,9.15206241607666
2,3,434,9.15134608745575
2,3,435,9.13897669315338
2,3,436,9.11153197288513
2,3,437,9.06576645374298
2,3,438,8.99896144866943
2,3,439,8.90930306911469
2,3,440,8.79606556892395
2,3,441,8.65971529483795
2,3,442,8.50184035301208
2,3,443,8.32498836517334
2,3,444,8.13239657878876
2,3,445,7.92772579193115
2,3,446,7.71477723121643
2,3,447,7.4972807765007
2,3,448,7.27876681089401
2,3,449,7.06253695487976
2,3,450,6.85174840688705
2,3,451,6.64949709177017
2,4,401,8.53715252876282
2,4,402,8.66543126106262
2,4,403,8.82924461364746
2,4,404,9.0213178396225
2,4,405,9.23110485076904
2,4,406,9.44590091705322
2,4,407,9.65217053890228
2,4,408,9.83693695068359
2,4,409,9.98910486698151
2,4,410,10.1005443334579
2,4,411,10.1668395996094
2,4,412,10.1876118183136
2,4,413,10.1664263010025
2,4,414,10.1102553606033
2,4,415,10.0285949707031
2,4,416,9.93235504627228
2,4,417,9.83265495300293
2,4,418,9.73965013027191
2,4,419,9.66152703762054
2,4,420,9.60378813743591
2,4,421,9.56889641284943
2,4,422,9.55629777908325
2,4,423,9.56278741359711
2,4,424,9.58319461345673
2,4,425,9.6112277507782
2,4,426,9.6404310464859
2,4,427,9.66507458686829
2,4,428,9.68087899684906
2,4,429,9.68552482128143
2,4,430,9.67880129814148
2,4,431,9.66248750686646
2,4,432,9.63990557193756
2,4,433,9.61524987220764
2,4,434,9.59280705451965
2,4,435,9.57613289356232
2,4,436,9.56735157966614
2,4,437,9.56664478778839
2,4,438,9.57199954986572
2,4,439,9.57927942276001
2,4,440,9.5826268196106
2,4,441,9.57509708404541
2,4,442,9.54952347278595
2,4,443,9.49941885471344
2,4,444,9.41991758346558
2,4,445,9.30850446224213
2,4,446,9.1655660867691
2,4,447,8.99457442760468
2,4,448,8.80196708440781
2,4,449,8.59663051366806
2,4,450,8.38916426897049
2,4,451,8.19084405899048
3,1,401,0.85971812158823
3,1,402,0.816147364675999
3,1,403,0.79927883297205
3,1,404,0.814758259803057
3,1,405,0.865385480225086
3,1,406,0.950661800801754
3,1,407,1.06670150160789
3,1,408,1.20649926364422
3,1,409,1.36061701178551
3,1,410,1.51809333264828
3,1,411,1.66755270957947
3,1,412,1.79838335514069
3,1,413,1.90183001756668
3,1,414,1.97184711694717
3,1,415,2.00567504763603
3,1,416,2.00408801436424
3,1,417,1.97116005420685
3,1,418,1.91373339295387
3,1,419,1.84060597419739
3,1,420,1.76147128641605
3,1,421,1.6858487278223
3,1,422,1.62203568220139
3,1,423,1.57627560198307
